micros,pressure,temperature
501314.00,1009.8600,21.87
502584.00,1010.0600,21.92
503838.00,1009.8000,21.89
505110.00,1009.8000,21.94
506374.00,1009.7000,21.89
507638.00,1009.3200,21.89
508890.00,1010.2200,21.90
510172.00,1010.0600,21.92
511426.00,1010.0600,21.87
512710.00,1009.8600,21.87
513968.00,1009.9900,21.94
515238.00,1009.7700,21.87
516494.00,1010.1900,21.99
517754.00,1010.0900,21.89
519010.00,1009.8000,21.94
520266.00,1010.3100,21.90
521522.00,1009.9900,21.94
522782.00,1010.0600,21.92
524034.00,1009.9000,21.89
525290.00,1009.7700,21.92
526550.00,1010.1900,21.94
527814.00,1009.7700,21.92
529066.00,1009.7400,21.90
530326.00,1009.7700,21.92
531590.00,1010.1200,21.90
532848.00,1010.2800,21.94
534102.00,1009.9300,21.90
535362.00,1009.7400,21.95
536642.00,1009.9000,21.89
537902.00,1009.7400,21.90
539158.00,1010.1200,21.95
540414.00,1009.8300,21.90
541672.00,1009.9000,21.94
542926.00,1009.8300,21.90
544178.00,1009.7400,21.90
545440.00,1010.1900,21.94
546698.00,1009.7400,21.90
547954.00,1009.7100,21.94
549214.00,1009.7400,21.90
550470.00,1010.0900,21.94
551726.00,1009.8300,21.90
552980.00,1009.6700,21.92
554246.00,1009.9300,21.90
555498.00,1009.7100,21.94
556762.00,1009.8700,21.92
558018.00,1009.9600,21.97
559272.00,1009.9300,21.95
560526.00,1010.0900,21.94
561782.00,1009.9900,21.89
563040.00,1009.5800,21.92
564310.00,1009.3500,21.85
565566.00,1009.6700,21.92
566822.00,1009.6400,21.90
568074.00,1010.0200,21.90
569334.00,1009.7700,21.92
570586.00,1009.6700,21.92
571840.00,1009.8300,21.90
573094.00,1009.7700,21.92
574350.00,1009.8300,21.95
575606.00,1009.8000,21.89
576862.00,1009.7700,21.87
578118.00,1009.8300,21.95
579394.00,1009.6100,21.89
580658.00,1010.1600,21.97
581914.00,1010.1500,21.92
583166.00,1009.9600,21.97
584424.00,1009.8300,21.95
585686.00,1009.5800,21.92
586942.00,1010.2500,21.92
588198.00,1009.9600,21.97
589456.00,1009.7700,21.87
590722.00,1009.6700,21.92
591974.00,1010.0200,21.90
593230.00,1009.8600,21.87
594486.00,1010.0300,21.95
595744.00,1009.9000,21.89
597002.00,1009.9600,21.92
598258.00,1009.7400,21.90
599514.00,1010.1900,21.94
600778.00,1010.0600,21.97
602038.00,1010.0000,21.99
603302.00,1009.8700,21.97
604558.00,1010.0600,21.92
605814.00,1009.4800,21.97
607076.00,1009.3200,21.83
608346.00,1009.8600,21.87
609606.00,1009.7700,21.92
610862.00,1010.3500,22.02
612122.00,1009.7700,21.97
613378.00,1010.0200,21.90
614634.00,1009.6100,21.89
615890.00,1010.0600,21.92
617150.00,1009.9000,21.94
618406.00,1009.7100,21.94
619664.00,1009.6700,21.92
620922.00,1009.4500,21.85
622186.00,1009.8000,21.89
623442.00,1010.0600,21.92
624698.00,1010.2500,21.92
625968.00,1010.2200,21.95
627226.00,1009.7300,21.85
628500.00,1009.9300,21.95
629764.00,1009.8300,21.85
631026.00,1010.2500,21.97
632280.00,1010.3200,22.00
633546.00,1009.7100,21.94
634822.00,1010.2500,21.97
636086.00,1010.1200,21.95
637360.00,1010.0900,21.99
638626.00,1009.9000,21.99
639882.00,1009.9600,21.92
641142.00,1009.7000,21.89
642406.00,1009.9900,21.94
643666.00,1009.6700,21.92
644922.00,1010.3500,21.97
646178.00,1010.3200,21.95
647442.00,1009.9300,21.95
648698.00,1010.3800,21.94
649958.00,1009.9600,21.92
651206.00,1010.0200,21.90
652478.00,1010.1600,21.97
653734.00,1009.9300,21.95
654990.00,1010.0600,21.97
656242.00,1010.3800,21.99
657504.00,1009.8600,21.87
658760.00,1009.8700,21.92
660032.00,1009.2900,21.92
661294.00,1009.9300,21.85
662558.00,1009.8700,21.92
663818.00,1010.1200,21.90
665074.00,1009.9000,21.94
666330.00,1009.9900,21.89
667590.00,1009.8300,21.90
668846.00,1009.9300,21.95
670100.00,1009.8000,21.94
671362.00,1009.8300,21.95
672614.00,1009.8700,21.97
673878.00,1010.1200,21.95
675138.00,1009.6400,21.95
676394.00,1010.0600,21.92
677654.00,1010.0200,21.90
678910.00,1010.2200,21.95
680170.00,1009.5100,21.83
681442.00,1009.8700,21.97
682698.00,1009.5100,21.94
683952.00,1009.7700,21.92
685210.00,1009.8300,21.95
686466.00,1009.6700,21.97
687726.00,1010.0900,21.94
688984.00,1009.8700,21.92
690246.00,1009.7700,21.92
691502.00,1009.7000,21.89
692754.00,1009.7100,21.94
694026.00,1010.3500,21.97
695282.00,1009.6100,21.94
696538.00,1009.5800,21.92
697814.00,1009.5800,21.87
699070.00,1010.0900,21.89
700330.00,1009.8700,21.97
701586.00,1010.0300,21.95
702850.00,1009.5500,21.95
704106.00,1009.6700,21.92
705362.00,1009.4500,21.90
706618.00,1009.7100,21.94
707882.00,1009.8000,21.94
709134.00,1009.6100,21.89
710382.00,1009.7100,21.94
711638.00,1009.7700,21.92
712894.00,1010.1500,21.92
714154.00,1009.5800,21.87
715406.00,1009.8700,21.97
716662.00,1009.9000,21.94
717926.00,1009.9300,21.90
719182.00,1009.7700,21.97
720446.00,1009.8300,21.90
721702.00,1010.4700,21.94
722962.00,1010.0300,21.95
724222.00,1009.8300,21.90
725490.00,1009.6100,21.94
726754.00,1009.6400,21.85
728010.00,1009.5400,21.90
729266.00,1010.1500,21.92
730526.00,1009.9300,21.90
731786.00,1009.8000,21.94
733046.00,1010.0200,21.90
734302.00,1009.8600,21.87
735558.00,1010.1500,21.92
736828.00,1009.9300,21.95
738086.00,1009.7400,21.95
739342.00,1009.8600,21.87
740600.00,1009.8700,21.92
741866.00,1009.8000,21.89
743126.00,1009.8000,21.89
744388.00,1009.7700,21.92
745642.00,1010.0600,21.87
746914.00,1009.9000,21.94
748166.00,1009.8000,21.94
749426.00,1009.8000,21.99
750680.00,1009.4200,21.89
751934.00,1009.9600,21.97
753190.00,1009.9300,21.95
754450.00,1010.2500,21.92
755706.00,1010.0300,21.95
756974.00,1009.9300,21.95
758236.00,1010.1800,21.89
759504.00,1010.0300,22.00
760758.00,1009.6100,21.89
762038.00,1009.3200,21.94
763306.00,1009.7400,21.95
764566.00,1009.6100,21.89
765826.00,1009.5800,21.92
767084.00,1010.0900,21.94
768346.00,1009.9300,21.95
769600.00,1010.0300,22.00
770862.00,1010.1900,21.99
772122.00,1009.7700,21.92
773378.00,1009.8000,21.94
774634.00,1009.4500,21.90
775890.00,1009.5400,21.90
777146.00,1009.8000,21.94
778406.00,1009.6700,21.92
779662.00,1009.8700,21.92
780930.00,1010.0600,21.97
782186.00,1009.7100,21.94
783448.00,1009.7400,21.95
784706.00,1009.6400,21.90
785962.00,1009.7400,21.95
787222.00,1009.6400,21.90
788486.00,1009.6100,21.94
789746.00,1010.1200,21.90
791002.00,1009.8000,21.94
792266.00,1009.6700,21.87
793532.00,1009.3200,21.94
794798.00,1010.0900,21.99
796054.00,1010.2200,21.95
797314.00,1010.1900,21.99
798592.00,1010.0600,21.92
799850.00,1010.0900,21.94
801106.00,1010.1500,21.92
802362.00,1009.9600,21.92
803626.00,1009.9600,21.97
804882.00,1009.8700,21.92
806138.00,1010.0600,21.92
807394.00,1009.9900,21.94
808648.00,1010.2800,21.99
809906.00,1009.7000,21.89
811162.00,1009.9300,21.95
812418.00,1009.6700,21.87
813678.00,1009.9000,21.99
814934.00,1009.7400,21.95
816202.00,1010.0900,21.94
817470.00,1009.3200,21.94
818726.00,1009.7400,21.95
819992.00,1010.1500,21.92
821250.00,1010.0900,21.94
822510.00,1010.0600,21.97
823766.00,1009.7700,21.97
825026.00,1009.8300,21.90
826278.00,1009.5100,21.94
827538.00,1010.2200,21.95
828794.00,1009.7100,21.94
830052.00,1009.7700,21.87
831312.00,1009.2600,21.90
832572.00,1009.7100,21.94
833830.00,1010.1200,21.95
835086.00,1009.7100,21.94
836350.00,1009.4500,21.90
837618.00,1009.9300,21.95
838874.00,1009.9300,21.95
840132.00,1009.9000,21.94
841386.00,1010.0300,21.95
842654.00,1009.8000,21.94
843912.00,1009.7400,21.95
845170.00,1010.1600,22.02
846426.00,1009.9600,21.97
847682.00,1009.9600,21.92
848934.00,1009.9000,21.94
850194.00,1009.7700,21.97
851446.00,1009.7100,21.94
852702.00,1009.4800,21.92
853958.00,1010.1600,21.97
855218.00,1009.6100,21.94
856474.00,1009.9300,21.95
857730.00,1010.0600,21.92
858986.00,1010.1200,21.95
860246.00,1009.6700,21.97
861502.00,1009.6700,21.97
862756.00,1009.7700,21.97
864032.00,1010.0300,21.95
865294.00,1010.1600,21.97
866554.00,1009.6700,21.92
867816.00,1009.8700,21.97
869070.00,1009.6700,21.97
870324.00,1009.5500,22.00
871580.00,1010.0900,21.94
872834.00,1009.9600,21.97
874090.00,1010.0000,21.99
875344.00,1009.5800,21.97
876596.00,1010.0900,22.04
877858.00,1010.0300,21.95
879114.00,1009.6700,21.97
880366.00,1010.0900,21.99
881620.00,1009.7400,21.95
882878.00,1009.6700,21.97
884142.00,1009.8000,21.94
885410.00,1010.0600,21.97
886678.00,1009.7700,21.97
887958.00,1009.5100,21.99
889226.00,1009.7100,21.94
890488.00,1010.0300,22.00
891746.00,1010.2500,21.97
893006.00,1010.2500,21.97
894270.00,1009.2200,21.94
895522.00,1010.0900,21.99
896782.00,1010.2200,21.95
898038.00,1010.0300,21.95
899298.00,1009.5100,21.94
900554.00,1009.9000,21.99
901810.00,1009.6700,21.92
903064.00,1009.5800,21.92
904342.00,1009.9000,21.99
905598.00,1009.9300,21.95
906854.00,1009.9000,21.94
908118.00,1009.7100,21.99
909386.00,1010.0300,22.00
910642.00,1009.7700,21.97
911910.00,1009.7700,21.92
913162.00,1009.9300,22.00
914420.00,1010.3200,22.00
915674.00,1010.2200,21.90
916930.00,1010.0600,21.92
918186.00,1009.8300,21.90
919444.00,1010.3200,22.00
920702.00,1009.4800,21.92
921968.00,1009.7100,21.99
923226.00,1010.3800,21.94
924482.00,1009.7700,21.97
925750.00,1010.0600,21.92
927004.00,1009.6100,21.94
928262.00,1009.9600,21.97
929518.00,1009.6400,21.90
930774.00,1010.0900,21.94
932034.00,1010.1600,21.97
933290.00,1009.8300,21.95
934542.00,1010.1600,21.97
935802.00,1009.9000,21.99
937062.00,1010.0200,21.90
938320.00,1009.7400,21.95
939574.00,1009.7400,21.95
940834.00,1009.5400,21.90
942090.00,1010.1900,21.99
943348.00,1009.9600,21.92
944610.00,1010.2200,22.00
945870.00,1009.8400,22.00
947142.00,1009.8700,21.92
948398.00,1010.0000,21.99
949666.00,1009.9300,21.95
950922.00,1009.5400,21.90
952178.00,1009.7100,21.94
953432.00,1010.0600,21.97
954690.00,1009.7400,21.95
955946.00,1009.9600,21.97
957204.00,1010.0600,21.92
958456.00,1009.8300,21.95
959722.00,1009.7700,22.02
960986.00,1009.6700,21.87
962246.00,1009.9600,21.92
963506.00,1010.0900,21.94
964764.00,1009.9000,21.94
966020.00,1010.1900,21.99
967282.00,1010.1500,21.92
968542.00,1009.9000,21.94
969808.00,1009.9300,22.00
971066.00,1010.0300,21.95
972330.00,1009.9300,21.95
973586.00,1009.7400,21.95
974838.00,1010.0900,21.94
